Estacion,Latitude,Longitude,MareaFactor,Vibrio,NO2,NO3,PO4,SiO2,Clorofila,pH,OD,Transparencia,SST,Temperatura,Salinidad,Densidad,DensidadFito,PesoHum500,PesoHum300,q0,q1
A01,2.8493,-78.2226,1,-,0.06,0.38,0.13,8.41,0.85,8.29,7.73,13,49.85,27.5963,29.1131,1018.161,977,67.5804,75.946,17,13.23926551
A01,2.8493,-78.2226,0,-,0.2,0.66,0.06,24.29,1.7,8.25,7.52,4,14.67,28.7184,28.3532,1017.3105,5383,100.3146,796.9701,39,11.20514482
A02,2.81677,-78.2225,1,-,0.13,0.7,0.06,11.22,0.83,8.26,7.41,8.5,24,27.9126,26.0307,1015.8097,860,188.0637,365.4431,16,12.97693339
A02,2.81677,-78.2225,0,-,0.27,0.46,0.13,16.76,1.86,8.25,7.19,5.5,18.25,30.0171,26.0718,1015.046,5142,73.6513,919.1568,24,7.176278171
A03,2.78422,-78.2225,1,1,0.49,1.51,0.24,25.38,0.5,8.28,7.81,2.5,17.3,26.7658,26.6651,1016.5468,1128,204.4793,77.4105,12,4.685810657
A03,2.78422,-78.2225,0,-,0.56,1.06,0.23,19.84,1.6,8.23,6.48,2,28,26.5634,12.9911,1006.6157,3440,29.3138,626.2277,25,10.23814005
A04,2.75167,-78.2224,1,1,0.15,0.47,0.19,8.32,0.5,8.23,7.58,6,23.05,27.0485,29.0194,1018.3309,530,201.1656,563.6953,8,5.992932687
A04,2.75167,-78.2224,0,-,0.5,1.06,0.33,17.21,1.5,8.2,6.39,2,28.3,27.2907,30.1194,1019.0881,3707,51.0476,18.9367,27,12.34826011
A05,2.71912,-78.2224,1,1,0.54,1.13,0.26,19.21,0.57,8.16,6.84,1.6,25.85,26.7885,28.3586,1017.9209,1208,222.6885,230.3124,16,6.957818275
A05,2.71912,-78.2224,0,-,0.64,1.24,0.37,20.3,3,8.19,6.31,1.5,35.95,27.4224,29.5563,1018.581,3274,27.0979,753.3468,26,9.724505956
A06,2.68657,-78.2224,1,1,0.77,1.17,0.38,25.2,4.6,8.14,6.33,1.8,37.75,26.8459,29.0221,1018.3412,12372,17.5631,100.2808,29,7.633673977
A06,2.68657,-78.2224,0,-,0.92,1,0.2,28.01,4.73,8.16,6.16,2,49.9,27.1291,25.1681,1015.4325,2978,28.9845,1024.3429,19,7.06613987
G01,2.78403,-78.4005,1,1,0.05,0.27,0.06,5.41,0.79,8.21,8.06,7,20.6,27.5117,26.6972,1016.352,2507,291.4779,922.9847,23,11.41830035
G01,2.78403,-78.4005,0,1,0.11,1,0.13,24.02,1.57,8.24,7.6,2.5,27.85,27.2356,11.8956,1005.5034,1724,53.9266,929.8637,21,10.20351208
G02,2.7515,-78.4005,1,1,0.09,1.03,0.13,14.58,0.74,8.22,7.63,3.5,21.85,24.667,26.2349,1016.8337,2238,274.5359,440.3509,26,8.853810513
G02,2.7515,-78.4005,0,1,0.28,2,0.23,33.27,1.47,8.18,7.25,1.2,34.9,27.9732,16.3038,1008.5972,2788,7.1647,851.296,32,16.55649035
G03,2.71895,-78.4004,1,1,0.13,1.54,0.2,12.58,0.69,8.24,7.29,6,27.2,27.2636,29.4739,1018.4902,360,183.9555,611.7072,12,8.219476362
G03,2.71895,-78.4004,0,1,0.23,2.15,0.34,32.55,0.94,8.16,6.84,1,37.1,27.9243,23.9402,1014.189,1657,12.5106,238.2985,21,12.99008228
G04,2.6864,-78.4004,1,1,0.05,0.36,0.13,3.51,0.32,8.18,7.19,1.8,24.1,26.6895,18.8356,1010.8592,1422,490.1017,122.3394,29,21.41506287
G04,2.6864,-78.4004,0,1,0.32,4.09,0.32,78.47,1.34,7.95,6.48,0.8,50.38,27.1688,17.7717,1009.7976,6384,5.5462,160.3466,35,6.006364084
G05,2.65385,-78.4004,1,1,0.1,0.7,0.23,11.58,0.73,8.16,6.78,0.8,34.95,26.9316,22.1402,1013.3003,3067,29.547,638.181,37,20.23730393
G05,2.65385,-78.4004,0,0,0.33,3.98,0.35,71.3,1.57,7.96,6.06,0.8,72,27.4788,19.7624,1011.1397,5106,6.4947,85.4514,25,7.620119399
G06,2.6213,-78.4003,1,1,0.15,1.15,0.42,16.85,0.86,8.14,6.62,0.6,53.53,27.6636,27.8153,1017.1047,5686,47.5315,1191.8986,30,11.71989476
G06,2.6213,-78.4003,0,1,0.37,4.31,0.62,77.47,1.38,7.87,5.87,0.6,77,26.891,12.9757,1006.2509,7562,0.5078,30.1282,12,2.301449438
S01,2.83294,-78.3197,1,-,0.05,0.36,0.11,11.4,1.13,8.22,7.66,10.5,16.3,27.2709,26.5318,1016.3019,1774,55.7906,389.5544,17,4.468006373
S01,2.83294,-78.3197,0,-,0.06,0.19,0.09,6.86,0.81,8.22,7.05,8.5,18.12,26.9163,0.3501,996.9767,760,580.9613,959.224,14,9.583686443
S02,2.8004,-78.3196,1,-,0.07,0.6,0.1,10.95,1.07,8.21,7.37,5,19.95,27.4268,25.476,1015.4554,2147,150.5567,474.1669,11,2.495408943
S02,2.8004,-78.3196,0,-,0.07,0.36,0.06,10.04,0.84,8.17,6.93,6,31.3,28.3921,19.4762,1010.6995,1760,49.8313,784.0548,18,8.234814921
S03,2.76785,-78.3196,1,0,0.11,0.64,0.19,10.77,0.75,8.19,7.04,2.5,27.15,25.6499,7.195,1002.5278,5688,371.7627,1001.8804,27,4.364843064
S03,2.76785,-78.3196,0,0,0.45,1.21,0.36,27.28,1.23,8.12,6.29,0.9,35.8,25.7451,1.6371,998.3004,9568,10.3572,497.5823,39,7.881399587
S04,2.7353,-78.3195,1,1,0.09,0.87,0.33,12.67,0.73,8.16,6.85,2.5,22.6,26.9841,24.4799,1014.9614,5650,1913.1839,3070.9694,39,10.41433512
S04,2.7353,-78.3195,0,1,0.69,2.17,0.35,42.35,2.39,8.1,5.91,0.75,42.1,27.6442,26.1703,1015.8712,5408,59.7648,612.517,27,8.076789408
S05,2.70275,-78.3195,1,1,0.06,0.53,0.14,9.41,1.14,8.12,6.7,2.5,77.75,27.7903,8.4429,1002.6861,18353,332.105,1386.7114,41,11.0253643
S05,2.70275,-78.3195,0,1,0.84,1.49,0.91,45.98,3.64,8.04,5.6,1,87.55,26.4223,4.3041,1000.0697,6766,4.5348,347.8497,42,14.64139835
S06,2.6702,-78.3195,1,1,0.25,2.28,0.25,44.44,1.57,8.03,6.12,2.5,160.97,27.64,10.6847,1004.4749,29298,19.6088,588.4849,42,8.019566781
S06,2.6702,-78.3195,0,0,0.73,2.46,0.47,44.98,4.99,8.02,5.41,1,188.05,25.4704,0.4015,997.4123,14414,49.2409,1772.8036,49,12.62862395
